system:index,dsnr,dur,mag,preval,rate,yod,.geo
17545,5.080164909362793,2.0,212.07977294921875,672.185546875,106.03988647460938,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80874054051314,14.88735747946159]}"
17546,6.5835676193237305,1.0,728.9030151367188,896.0550537109375,728.9030151367188,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.92389989961505,14.001708785524583]}"
17547,4.509677410125732,2.0,367.7242736816406,517.7390747070312,183.8621368408203,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.56065662069095,17.146619208219445]}"
17548,5.10161018371582,1.0,255.60780334472656,553.4019165039062,255.60780334472656,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.10591272629094,13.129979599937577]}"
17549,3.529468297958374,2.0,274.13653564453125,546.4448852539062,137.06826782226562,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.1440365969609,16.710274902957593]}"
17550,3.1585161685943604,2.0,367.0211181640625,651.6342163085938,183.51055908203125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14364161141575,14.661889805375443]}"
17551,10.71040153503418,1.0,468.35369873046875,772.0873413085938,468.35369873046875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76269070204594,16.549865133958043]}"
17552,2.982492208480835,2.0,296.4340515136719,666.4487915039062,148.21702575683594,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.19183801296246,15.013628884502502]}"
17553,7.220409393310547,2.0,217.56399536132812,369.5468444824219,108.78199768066406,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8397811132345,14.982654709751179]}"
17554,4.457943439483643,2.0,277.4480895996094,465.8857116699219,138.7240447998047,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97899844471567,13.47171625736626]}"
17555,2.7273313999176025,2.0,530.1516723632812,642.337646484375,265.0758361816406,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27830024419296,14.222301113239668]}"
17556,10.982207298278809,2.0,327.1783447265625,642.0179443359375,163.58917236328125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.59178936092425,14.628553071597393]}"
17557,2.4713706970214844,2.0,296.66839599609375,486.5787048339844,148.33419799804688,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.62331255379253,16.25334587315865]}"
17558,6.535806655883789,2.0,428.1205139160156,803.0232543945312,214.0602569580078,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86776501781219,13.696102643747794]}"
