magnitude,yod,coordinate,row,col,anthrome,prec_2001,prec_2002,prec_2003,prec_2004,prec_2005,prec_2006,prec_2007,prec_2008,prec_2009,prec_2010,prec_2011,prec_2012,prec_2013,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,Soil_Grid__bdod_mean,Soil_Grid__cec_mean,Soil_Grid__phh2o_mean,Soil_Grid__soc_mean,tmean_2001,tmean_2002,tmean_2003,tmean_2004,tmean_2005,tmean_2006,tmean_2007,tmean_2008,tmean_2009,tmean_2010,tmean_2011,tmean_2012,tmean_2013,label
387.3668823,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26266727514034,12.26475004467678]}",8608,30871,25,898,671,720,1023,1244,743,1050,1034,814,851,1068,595,885,0.964175165,0.99315691,0.666998625,0.650781274,1.056874514,1.057728291,1.068151712,1.054357052,0.941546142,0.838365495,0.621641755,0.836641073,0.794213355,141,303,69,73,35868,35917,32929,35838,35892,35869,35873,35832,35873,35921,35845,35944,35945,0
606.0197144,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29239906292906,12.252977332638302]}",8609,30875,25,973,706,803,1121,1395,789,1113,1095,895,938,1138,647,1008,1.416245699,1.314277291,1.260922551,1.209072709,1.422230482,1.121500492,1.204378009,1.165735364,0.872029662,1.089193821,1.610491753,1.604678273,1.601890445,141,311,68,72,35865,35917,32928,35837,35892,35865,35869,35830,35871,35920,35843,35943,35944,0
356.2128296,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.11825920315829,15.732352179212327]}",8192,30614,25,419,527,400,606,1063,840,960,819,961,926,779,521,684,2.60891223,3.384973764,3.01539588,3.06778574,3.684634209,2.49386549,2.098191261,2.495673418,3.870677233,3.126343727,3.471930504,3.33501935,3.472745895,143,415,72,83,35786,35818,32909,35797,35784,35780,35787,35749,35812,35829,35767,35801,35801,0
263.2053223,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22544665096413,12.030903587871537]}",8636,30867,32,987,735,773,1108,1253,867,1142,1099,859,912,1184,637,900,0.718767941,0.922313809,0.959879875,0.824244022,1.333162904,0.721784115,1.264668226,1.263838649,0.74866724,1.166000366,1.105163813,0.617998958,0.707189977,136,269,65,97,35672,35724,32744,35644,35691,35671,35678,35639,35680,35728,35659,35746,35746,0
305.6719055,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32209919841469,12.050120551558585]}",8633,30878,25,1057,770,835,1169,1391,861,1155,1117,905,989,1230,686,1002,1.017836213,0.899292171,1.243928909,1.327323675,1.223562956,1.112823725,0.799871802,1.219882965,0.723628342,1.183388233,1.190862775,0.805556238,0.850773454,139,284,69,70,35802,35855,32863,35771,35820,35797,35804,35768,35807,35856,35787,35877,35877,0
241.8054657,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9564433168702,13.918600594407618]}",8409,30834,25,629,591,481,760,1237,571,1026,959,973,1091,718,558,896,1.375559807,1.289310932,1.34828198,1.52217555,1.324846268,1.351648688,1.425907254,1.294892788,1.28226459,1.130171418,1.093191147,1.12105608,1.030599594,146,387,74,63,35893,35905,32987,35856,35890,35891,35888,35829,35901,35933,35854,35945,35940,0
363.8701172,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4008625902735,12.139724352260645]}",8623,30888,26,835,623,649,978,1087,683,921,991,728,834,1044,606,837,0.766733527,1.100586176,1.02814126,0.992092371,0.689870954,0.773257017,0.703695178,1.06466651,0.697654486,0.627727449,1.082716703,0.903850734,0.880937159,141,337,70,68,35912,35966,32968,35879,35935,35908,35913,35877,35914,35967,35892,35990,35990,0
378.8884888,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3489134242253,12.297777360902261]}",8604,30761,25,1906,1920,1917,2080,1983,2157,2443,1911,1958,1853,2001,1180,1988,2.264858723,2.338516712,2.381069899,2.197864294,2.16697526,2.021178246,2.110582829,2.060359001,2.161676645,2.155493975,1.690218925,1.265493989,1.686908722,136,307,71,75,35640,35657,32712,35621,35665,35657,35663,35629,35677,35698,35634,35696,35698,0
583.5632935,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.168208220046,11.789761126126848]}",8665,30860,32,1347,1114,1173,1561,1639,1287,1605,1327,1250,1330,1567,851,1297,0.543802559,0.494594038,0.463934064,0.570966184,0.468909353,0.492025822,0.477341503,0.490510285,0.496355742,0.403435081,0.357241541,0.251435965,0.306294501,128,262,60,135,35378,35431,32469,35352,35390,35374,35388,35352,35389,35439,35376,35450,35451,0
453.2854004,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07961393163556,12.245684103236263]}",8610,30849,25,1097,915,949,1231,1341,979,1281,1194,1002,1013,1222,648,1054,1.145871878,1.11721766,1.324379325,1.362866163,1.305824518,1.34037292,1.148666978,1.137670159,1.267748594,1.137800455,1.096521139,0.854952395,1.039696693,143,290,70,64,35825,35870,32888,35799,35850,35828,35835,35790,35836,35879,35805,35897,35899,0
402.305542,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24177413837704,11.882599656942864]}",8654,30869,26,938,687,721,1054,1093,856,993,1022,787,890,1187,616,822,0.979465961,0.898842573,0.959251583,1.050053835,0.936939716,0.971250236,1.152512431,0.975337207,1.098018527,0.973542631,1.06199789,1.014315248,1.157777071,134,338,69,100,35633,35686,32707,35604,35648,35630,35638,35604,35644,35692,35626,35707,35706,0
203.429245,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77165891553994,13.506508065299098]}",8459,30932,25,960,749,562,957,1485,586,1143,1150,960,968,1030,637,976,2.619206905,2.518495083,2.56208539,2.824087381,3.251473665,3.85362792,2.804186583,3.369823933,3.908119678,3.603541374,3.285393476,4.002453327,3.315477848,139,154,65,154,35668,35689,32761,35626,35689,35658,35662,35618,35675,35716,35627,35741,35727,0
259.0777588,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92877632522715,13.721640584490851]}",8433,30831,25,636,573,508,747,1187,568,985,918,919,1025,724,533,892,2.665429354,3.007539272,2.702879906,3.216429234,3.248356104,2.989748716,2.562721968,2.858261585,3.491735935,3.495572567,3.184888363,2.887860537,2.933818102,146,250,72,60,35876,35889,32967,35839,35878,35875,35874,35812,35882,35917,35830,35926,35929,0
454.9761963,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24675130875272,12.289393719562542]}",8605,30869,32,901,675,726,1008,1277,732,1042,1033,818,842,1039,585,892,1.000545382,0.894351721,0.943266273,0.972330809,1.175978422,0.917381287,0.949528754,0.852860093,1.243578076,0.674025178,1.116504788,0.750985742,0.762177348,140,295,68,73,35882,35931,32942,35853,35909,35881,35887,35845,35886,35935,35856,35956,35959,0
344.8258057,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45932935348765,12.30440138581802]}",8603,30775,25,1840,1809,1834,2010,1970,2023,2373,1856,1864,1760,1924,1084,1870,2.570747137,3.146538496,2.838642836,2.858605862,3.400865793,4.126233578,3.326652288,3.560368538,5.210905075,4.724456787,5.113637447,5.181680679,5.10940218,140,291,72,70,35638,35658,32712,35621,35662,35653,35659,35623,35671,35696,35628,35696,35699,0
266.7437744,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32596882450778,14.01150955588499]}",8398,30879,25,616,575,386,646,1073,470,894,870,788,875,686,476,701,1.175270677,1.162226915,1.207250834,1.336438537,1.255469799,1.223485708,1.316841125,1.209480286,1.210500717,1.680311203,2.187140942,1.814278126,2.259833574,150,318,72,57,35921,35931,33004,35874,35914,35912,35913,35858,35930,35962,35889,35981,35967,0
677.5508423,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1943085381549,12.084751119051644]}",8629,30863,32,1046,808,866,1197,1315,936,1208,1164,935,981,1233,664,1001,1.236902833,1.39501977,1.487674713,1.21329999,1.377359867,1.312348127,0.965937078,1.252188802,1.855275869,1.701495767,1.469197273,1.456217289,1.736961603,129,0,0,127,35784,35833,32849,35756,35804,35782,35788,35751,35794,35839,35766,35858,35857,0
223.0303345,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17925305049616,13.655355251102717]}",8441,30861,25,803,701,563,891,1439,613,1126,1121,1039,1097,877,619,1047,2.17282486,2.342382193,2.347780704,2.377180099,2.398472786,2.562692165,2.750647306,2.333409548,3.508089542,2.580509663,2.019244432,1.265036106,1.657803535,140,244,70,84,35773,35792,32868,35734,35781,35769,35770,35709,35776,35817,35729,35835,35828,0
380.3429565,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45646155893776,12.14829407548873]}",8622,30894,26,883,633,730,1092,1249,735,1046,1056,813,932,1125,672,962,0.489801466,0.45621419,0.502314448,0.429637313,0.437375724,0.586375296,0.497000724,0.466521829,0.480575085,0.453240901,0.735423088,0.679552674,0.724137485,141,315,69,74,35931,35985,32983,35898,35952,35925,35929,35894,35932,35984,35910,36009,36007,0
243.7577515,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23533406528584,13.656379144136956]}",8441,30868,25,776,649,506,782,1310,549,1017,1013,916,985,825,563,905,3.48897624,3.363109827,3.880761147,5.38794136,4.363232613,3.815484524,3.943588495,3.486174583,3.791222811,3.196603775,4.11706543,3.229624271,3.31690526,142,241,71,77,35790,35809,32883,35752,35798,35787,35787,35727,35794,35836,35746,35853,35846,0
268.4662781,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96532516308116,15.507426919470722]}",8219,30835,22,447,462,395,478,877,457,766,654,672,678,404,388,515,1.407667756,1.493648767,1.728623033,1.967685819,1.534628391,1.628726006,1.98681438,1.61876595,1.764782906,1.638379335,1.67089057,1.82773447,2.54756856,152,200,73,179,36169,36187,33230,36138,36124,36156,36145,36117,36192,36192,36166,36211,36180,0
1233.393555,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58046896407555,12.18645531828987]}",8617,30909,32,742,509,592,892,1076,552,812,863,661,770,902,570,810,0.240952983,0.253884494,0.272102952,0.156358734,0.219317853,0.220999762,0.194292754,0.289137244,0.418425262,0.294349223,0.311166734,0.264113575,0.200384527,141,292,67,103,36029,36080,33074,35995,36052,36023,36024,35991,36030,36080,36007,36108,36106,0
356.4008789,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1628059079223,11.946005247417002]}",8646,30859,32,1265,1008,1144,1534,1602,1209,1526,1321,1185,1248,1510,805,1273,0.338485658,0.311282963,0.341518104,0.258829504,0.28831321,0.343134254,0.219945654,0.301852614,0.334301531,0.295918882,0.209447905,0.349982083,0.273096532,128,266,62,285,35452,35502,32539,35425,35469,35453,35461,35423,35462,35510,35445,35522,35524,0
670.0619507,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34403875376715,12.31394303597305]}",8602,30881,32,1212,927,1014,1389,1570,958,1370,1367,1116,1194,1381,795,1282,0.582451582,0.535084844,0.530265093,0.489584386,0.455551177,0.42836684,0.477033615,0.496437252,0.556551814,0.472022176,0.479887009,0.356876135,0.492922872,131,239,67,112,35685,35735,32763,35656,35712,35683,35691,35649,35689,35739,35660,35759,35763,1
231.3515778,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38671150803927,11.982288726721526]}",8642,30886,26,883,661,680,957,1075,726,927,924,739,849,1076,571,799,0.977609396,1.235220432,1.034802914,1.344565034,1.051737189,0.828360379,1.125727654,1.18562007,1.330414534,1.1849792,1.167928696,0.829785347,0.898734689,145,311,69,76,35870,35924,32925,35839,35886,35863,35872,35834,35876,35924,35857,35947,35946,0
389.8639832,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3898517679149,12.097226462475161]}",8628,30886,25,1025,751,813,1181,1361,832,1126,1143,887,1003,1240,713,1017,1.301278353,1.289938331,0.826153636,1.033885837,1.258239746,0.982140183,1.068337798,1.046230793,1.079867125,1.136952758,1.136567354,0.829585254,0.69009763,142,330,71,82,35845,35899,32904,35815,35866,35841,35848,35810,35851,35899,35828,35924,35922,0
